func,classification
lexicon_nrc,
linesGrob,
LINESTRING2MULTILINESTRING,
linetype_pal,
local,
looper,
lower.tri,
lp,
lpSolve,
magick_attr_comment,
magick_attr_stroke_antialias,
magick_attr_text_antialias,
magick_coder_info,
magick_config_internal,
magick_device_get,
magick_image_animate,
magick_image_annotate,
magick_image_append,
magick_image_as_raster,
magick_image_average,
magick_image_background,
magick_image_blank,
magick_image_blur,
magick_image_border,
magick_image_canny,
magick_image_channel,
magick_image_charcoal,
magick_image_colorize,
magick_image_combine,
magick_image_compare,
magick_image_connect,
magick_image_contrast,
magick_image_convolve_kernel,
magick_image_convolve_matrix,
magick_image_copy,
magick_image_despeckle,
magick_image_destroy,
magick_image_display,
magick_image_edge,
magick_image_emboss,
magick_image_enhance,
magick_image_equalize,
magick_image_fft,
magick_image_fill,
magick_image_flatten,
magick_image_format,
magick_image_frame,
magick_image_fuzzycmeans,
magick_image_fx,
magick_image_houghline,
magick_image_implode,
magick_image_info,
magick_image_join,
magick_image_lat,
magick_image_length,
magick_image_map,
magick_image_median,
magick_image_modulate,
magick_image_montage,
magick_image_morph,
magick_image_morphology,
magick_image_mosaic,
magick_image_negate,
magick_image_noise,
magick_image_normalize,
magick_image_oilpaint,
magick_image_properties,
magick_image_quantize,
magick_image_readbin,
magick_image_readbitmap_double,
magick_image_readbitmap_native,
magick_image_readbitmap_raster1,
magick_image_readbitmap_raster2,
magick_image_readpath,
magick_image_reducenoise,
magick_image_replace,
magick_image_rev,
magick_image_separate,
magick_image_strip,
magick_image_subset,
magick_image_threshold_black,
magick_image_threshold_white,
magick_image_transparent,
magick_image_write,
magick_image_write_frame,
magick_image_write_integer,
magrittr,
make_base,
make_base_cpp,
make_baselines_cpp,
make_group_grob,
make_shadow,
make_style,
make_unit_label,
make_water,
make_water_cpp,
make_waterlines,
make_waterlines_cpp,
makeLabelRepelGrobs,
makeTextRepelGrobs,
mallet.doc.topics,
mallet.topic.words,
Map,
map_at,
map_brands,
map_empty,
map2SpatialPolygons,
map2stan,
mapasp,
maptools,
MariaDB,
marks,
MASS,
measures,
measures_fun,
merge_two_tibbles,
meta,
metacorpus,
mget,
microbenchmark,
minute,
mk.test,
mk_text_df,
mode,
moduleUI,
mutate_each,
my_theme,
mypalette,
na.ma,
names2,
ne_coastline,
need,
NLP,
nls,
nlsList,
nn2,
node_distance_to,
node_is_keyplayer,
node_rank_traveller,
normalize_sfc,
NS,
numeric_version,
observeEvent,
ocr,
ocr_data,
offset_beeswarm,
offsetX,
optimize_png,
option_types,
ori,
P__disp,
p_3,
p_blue,
p_dens,
p_legend,
p_lines,
p_logit,
p_Tidy_Tuesday,
p_top4,
p0,
p5,
packageDescription,
packageEvent,
packcircles,
PairPlot,
"pal[1, ]",
paletteer_dynamic,
panel,
panel_border,
panel_cols,
panel_rows,
par3d,
parse_double,
parse_integer,
parse_quo,
patchworkGrob,
PCA,
PCoA_plot,
pdf_info,
pdf_render_page,
pdf_text,
percent_map,
phyper,
pkgdown,
plot.random,
plot_counter,
plot_usmap,
plotRules,
pluck,
pmap_df,
POINT2MULTIPOINT,
POLYGON2MULTIPOLYGON,
pool_groups,
poolCheckout,
poolReturn,
position_beeswarm,
position_dodge2,
position_quasirandom,
position_raincloud,
postgis_as_sfc,
previewer,
product,
prop_test,
prop_test_imb,
prop_value,
prs,
qqmath,
quantile_fun,
quo_is_missing,
quos,
R.Version,
radar_chart,
rapply,
reactive_network,
read_rda,
read_sf,
readImage,
readme,
reg.finalizer,
register_all_s3_methods,
register_s3_method,
removePunctuation,
removeTaskCallback,
rename_at,
render_snapshot,
renderDataTable,
renderPlotly,
renderTable,
renderVisNetwork,
rep_magick_image,
replace_bad_names,
replace_duplicate_colnames,
replace_url,
resampling_method,
rescale_max,
resize,
return_corrplot,
revdep_check,
revdep_check_save_summary,
rgdal,
rgl.ids,
rgl.viewpoint,
rio,
rlm,
RMariaDB,
roll_prev,
roll_weekmean,
round_date,
rsvg,
rsvg_raw,
rule,
rworldmap,
save_tmap,
scale_alpha_discrete,
scale_color_distiller,
scale_color_floralShoppe,
scale_color_ipsum,
scale_color_pomological,
scale_colour_carto_d,
scale_colour_continuous,
scale_colour_economist,
scale_colour_floralShoppe,
scale_colour_gradient,
scale_colour_hotlineBling,
scale_colour_jwz,
scale_colour_newRetro,
scale_colour_viridis_d,
scale_edge_alpha,
scale_fill_floralShoppe,
scale_fill_got_d,
scale_fill_gradient2_tableau,
scale_fill_hyperBubble,
scale_fill_jwz,
scale_fill_paletteer_d,
scale_fill_scico,
scale_fill_solarized,
scale_point_color_gradient,
scale_x_datetime,
scale_y_date,
scale_y_time,
scales::scientific_format,
scientific,
search_tweets,
segments,
select_non_overlapping,
set_colnames,
set_graph_style,
set_last_plot,
set_magick_tempdir,
setHook,
setLoadAction,
setup_device,
setView,
sfn_asnetwork,
sfn_network2graph,
sg_axis_x,
shadowtextGrob,
shape_pal,
shortPathName,
showtext,
simpleTheme,
simplify,
simplify_fixed,
simplify_free,
size,
skip_on_appveyor,
slot,
snakeize,
Sort,
sparseMatrix,
SpatialLinesNetwork,
spec.ar,
spell_check_test,
spelling,
split_gp,
splom,
spotifyOAuth,
SQLite,
square,
SSlogis,
st_contains_properly,
st_covered_by,
st_covers,
st_crop.sfc,
st_crosses,
st_equals_exact,
st_filter,
st_geod_area,
st_geod_length,
st_geod_segmentize,
st_is_simple,
st_make_valid,
st_nn,
st_rasterize,
st_read.DBIObject,
st_rook,
st_set_precision,
st_to_s2,
st_touches,
st_write_db,
stat_bin_2d,
stat_density_2d,
stat_ellipse,
stm,
str_match,
str_squish,
str_to_sentence,
streamgraph,
stri_escape_unicode,
summarize_if,
sumna,
sund2b,
Surv,
Sys.info,
sys.nframe,
sysfonts,
table_dims,
tabyl,
tagList,
tan,
taxtree,
tf,
theme_bm_legend_2,
theme_clean,
theme_custom,
theme_du_bois,
theme_graph,
theme_inset,
theme_linedraw,
theme_minimal_hgrid,
theme_pomological_plain,
theme_solarized_2,
theme_test,
theme_tom,
theme_transparent,
this,
tidy_anime,
TidyTuesday,
tidyverse_cran_downloads,
time_scale_template,
tk_augment_timeseries_signature,
tk_index,
tm_dots,
tm_format_World,
tm_style,
tm_style_gray,
tm_text,
ToDataFrameNetwork,
ToDataFrameTree,
tokenfunc,
top_10,
topo.colors,
toRGB,
toTitleCase,
train_discrete,
train_test,
transition_events,
transpose,
trend,
trim_bb,
trunc,
tryNum,
tslm,
tt_closest_date,
tt_date_format,
tt_make_url,
tt_make_url.date,
tt_make_url.year,
tt_read_data.character,
tt1,
tuition_plot,
tvdata,
tween_elements,
tween_sf,
type_convert,
typed_empty,
UFO_DISTR,
ul,
uncount,
under_txt,
underline,
units_options,
unloadNamespace,
unnest_characters,
unnest_lines,
unnest_paragraphs,
updateSliderInput,
us_counties,
us_states,
USAboundaries,
useOuterStrips,
user_colours,
usmap,
valid_proj4string,
valid_year,
validate,
variety_selected()$points,
variety_selected()$price,
verticalLayout,
view,
view_follow,
vipor,
vis_miss,
visGroups,
visInteraction,
visLayout,
visNetworkOutput,
warn_text_se,
warn_underscored,
wine_color,
with_seed,
withCallingHandlers,
withr,
WKB_MULTILINESTRING,
wrap_dims,
write_excel_csv,
write_html,
write_sf,
xml_add_child,
xml_find_first,
xmlParse,
xmlToDataFrame,
xtabs,
y,
ymd_hms,
zeroGrob,
